UserId,HomeCity,Gender,FriendCount,CheckInCount,ListCount,MajorCount,PhotoCount,TipCount
38329563,,male,15.0,482.0,2.0,0.0,0.0,1.0
49767040,"Saint Petersburg, 66",female,47.0,768.0,2.0,0.0,0.0,14.0
103614131,,female,17.0,265.0,2.0,0.0,0.0,11.0
70655165,Saint-Petersburg,female,22.0,888.0,2.0,0.0,0.0,17.0
61389482,,male,32.0,407.0,3.0,0.0,0.0,4.0
129756367,"Saint Petersburg, St.-Petersburg",female,0.0,0.0,2.0,0.0,0.0,2.0
15761753,"город Санкт-Петербург, Россия",male,77.0,3879.0,5.0,0.0,0.0,3.0
97390068,"Saint Petersburg, St.-Petersburg",male,0.0,0.0,2.0,0.0,0.0,7.0
27349212,Moskva,female,44.0,1830.0,2.0,0.0,0.0,35.0
17045169,saint-petersburg,male,65.0,487.0,2.0,0.0,0.0,21.0
9781746,"город Самара, Россия",male,65.0,1347.0,2.0,0.0,0.0,23.0
17078304,"город Санкт-Петербург, Россия",male,105.0,1528.0,6.0,0.0,0.0,11.0
34677033,,female,24.0,2837.0,21.0,0.0,0.0,268.0
80630359,"Saint Petersburg, St.-Petersburg",female,74.0,675.0,2.0,0.0,0.0,3.0
48464074,Tatarstan,male,202.0,674.0,2.0,0.0,0.0,227.0
63347781,,male,12.0,229.0,3.0,0.0,0.0,2.0
16930561,"город Санкт-Петербург, Россия",female,23.0,232.0,2.0,0.0,0.0,2.0
28197935,City of St. Petersburg,female,96.0,1264.0,2.0,0.0,0.0,5.0
15000771,moscow,male,36.0,1439.0,2.0,0.0,0.0,17.0
38816998,"Moscow, Russia",male,22.0,2355.0,3.0,0.0,0.0,32.0
43963521,Komi,female,14.0,112.0,3.0,0.0,0.0,3.0
95023771,"Istanbul, Istanbul",none,0.0,23.0,2.0,0.0,0.0,57.0
122123476,"Saint Petersburg, Russia",female,0.0,0.0,2.0,0.0,0.0,1.0
25959266,Phuket,female,58.0,3988.0,4.0,0.0,0.0,89.0
1625114,St Petersburg,male,67.0,4231.0,3.0,0.0,0.0,32.0
345242627,"Kassel, Hesse",female,0.0,0.0,2.0,0.0,0.0,1.0
55166850,"Moscow, 48",female,15.0,467.0,2.0,0.0,0.0,93.0
65955292,"Saint-Petersburg, 66",female,51.0,2290.0,2.0,0.0,0.0,1.0
40357119,Москва ,male,12.0,1530.0,2.0,0.0,0.0,6.0
51812693,"Moscow, 48",male,21.0,511.0,2.0,0.0,0.0,32.0
144185170,"Saint Petersburg, 66",female,38.0,2499.0,2.0,0.0,0.0,3.0
59993748,Санкт-Петербург,male,52.0,4700.0,2.0,0.0,0.0,23.0
37068022,Москва,female,69.0,2550.0,13.0,0.0,0.0,34.0
37518784,City of St. Petersburg,male,15.0,201.0,2.0,0.0,0.0,2.0
18432850,..Москва..Екатеринбург..,female,61.0,1885.0,5.0,0.0,0.0,33.0
52803871,Saint-Petersburg,female,8.0,714.0,2.0,0.0,0.0,4.0
128290564,"Saint Petersburg, 66",female,0.0,0.0,2.0,0.0,0.0,5.0
79424638,"Saint Petersburg, St.-Petersburg",female,10.0,81.0,2.0,0.0,0.0,4.0
80484932,"Saint Petersburg, St.-Petersburg",male,2.0,20.0,2.0,0.0,0.0,3.0
5724261,"Berlin, Germany",female,82.0,4080.0,17.0,0.0,0.0,37.0
27633834,Orel,female,30.0,1036.0,2.0,0.0,0.0,15.0
46006735,Leningrad,female,65.0,150.0,2.0,0.0,0.0,5.0
19173829,"New York, NY",male,110.0,579.0,4.0,0.0,0.0,9.0
16036996,"город Санкт-Петербург, Россия",male,65.0,215.0,2.0,0.0,0.0,5.0
65905846,"Saint-Petersburg, 66",male,956.0,712.0,2.0,0.0,0.0,8.0
81061570,"Moscow, Moscow",female,54.0,1492.0,2.0,0.0,0.0,175.0
54191816,,male,3.0,121.0,2.0,0.0,0.0,15.0
45869909,City of St. Petersburg,male,84.0,5064.0,44.0,0.0,0.0,90.0
103947499,"Krasnoyarsk, Krasnoyarskiy Kray",female,2.0,117.0,2.0,0.0,0.0,15.0
41351939,Minsk,male,7.0,605.0,2.0,0.0,0.0,20.0
12243962,St' Petersburg,male,107.0,2396.0,3.0,0.0,0.0,4.0
109370618,"Saint Petersburg, St.-Petersburg",female,0.0,2.0,2.0,0.0,0.0,1.0
41339443,City of St. Petersburg,female,41.0,171.0,2.0,0.0,0.0,9.0
96109495,St.-Petersburg,female,50.0,877.0,2.0,0.0,0.0,20.0
93172313,"Saint Petersburg, St.-Petersburg",female,0.0,31.0,2.0,0.0,0.0,4.0
20619312,St.Petersburg,female,43.0,303.0,3.0,0.0,0.0,13.0
67645349,"Saint-Petersburg, 66",female,25.0,1303.0,2.0,0.0,0.0,5.0
47347997,Cataluña,male,0.0,3.0,2.0,0.0,0.0,10.0
66429078,"Saint-Petersburg, 66",female,16.0,602.0,2.0,0.0,0.0,5.0
28168139,City of St. Petersburg,male,1.0,239.0,2.0,0.0,0.0,3.0
56085492,"Saint-Petersburg, 66",female,31.0,2057.0,2.0,0.0,0.0,14.0
125460806,"Moscow, 48",female,1.0,96.0,2.0,0.0,0.0,19.0
63501367,"Saint-Petersburg, 66",female,40.0,1560.0,3.0,0.0,0.0,208.0
21512082,Odessa,male,32.0,367.0,4.0,0.0,0.0,19.0
96235148,Москва,male,0.0,20.0,2.0,0.0,0.0,7.0
69041906,"Saint-Petersburg, 66",female,25.0,1381.0,2.0,0.0,0.0,12.0
60742386,St.Petersburg,female,54.0,1808.0,3.0,0.0,0.0,28.0
123737835,,male,7.0,1065.0,2.0,0.0,0.0,51.0
41024518,City of St. Petersburg,female,64.0,1750.0,4.0,0.0,0.0,8.0
77819629,"Saint Petersburg, St.-Petersburg",female,8.0,52.0,2.0,0.0,0.0,3.0
26959612,Saint Petersburg,female,37.0,644.0,4.0,0.0,0.0,5.0
137491084,"Yogyakarta, 10",male,0.0,13.0,10.0,0.0,0.0,140.0
29196254,City of St. Petersburg,female,93.0,3259.0,6.0,0.0,0.0,25.0
52028192,"Saint Petersburg, 66",none,10.0,612.0,2.0,0.0,0.0,11.0
58321998,"Saint-Petersburg, 66",male,30.0,13.0,2.0,0.0,0.0,5.0
31808855,Петрозаводск,female,9.0,799.0,2.0,0.0,0.0,32.0
32132536,"Saint-Petersburg, SPB",male,32.0,2078.0,2.0,0.0,0.0,18.0
27969990,City of St. Petersburg,female,42.0,2792.0,2.0,0.0,0.0,18.0
26086569,City of St. Petersburg,male,25.0,938.0,10.0,0.0,0.0,38.0
20085612,Россия,male,3.0,22.0,2.0,0.0,0.0,3.0
45135702,City of St. Petersburg,female,31.0,49.0,2.0,0.0,0.0,1.0
80595947,"Saint Petersburg, St.-Petersburg",female,15.0,142.0,2.0,0.0,0.0,5.0
14871132,"город Санкт-Петербург, Россия",female,60.0,4245.0,10.0,0.0,0.0,41.0
49673254,Saint Petersburg,male,22.0,331.0,7.0,0.0,0.0,2.0
43600993,Saint Petersburg,female,109.0,914.0,4.0,0.0,0.0,7.0
60326141,"Saint-Petersburg, 66",none,0.0,1.0,2.0,0.0,0.0,1.0
146502091,"Rostov-on-don, 61",female,0.0,0.0,2.0,0.0,0.0,1.0
94491155,"Saint Petersburg, St.-Petersburg",female,0.0,35.0,2.0,0.0,0.0,8.0
86946735,,female,32.0,1219.0,2.0,0.0,0.0,72.0
48147293,Санкт-Петербург,female,16.0,1102.0,2.0,0.0,0.0,11.0
