District,BarId,UserId,Review,MadePhoto,Reaction
Dumskaya,52b89801498eb5da45f72173,32027377,Самый вкусный кофе в мире!,False,liked
Dumskaya,52b89801498eb5da45f72173,80129228,"Рядом с универчиком, можно частенько заходить",False,liked
Dumskaya,52b89801498eb5da45f72173,31144393,"Верните срочно карамельный макиато, то пить горький кофе в виде обычного латте, это невозможно!!!!!!",False,liked
Dumskaya,52b89801498eb5da45f72173,90722823,всегда чудесный персонал,False,liked
Dumskaya,52b89801498eb5da45f72173,31857627,самый классный стар в городе,False,liked
Dumskaya,52b89801498eb5da45f72173,36930227,Морковный торт для любителей сладкого! 👍,False,
Dumskaya,52b89801498eb5da45f72173,8423702,"Блин, самый красивый Старбакс в России. Все московские ему и в подметки не того.. ))",False,
Dumskaya,52b89801498eb5da45f72173,60402101,Есть безлактозное и вдругкомунадо соевое молоко для кофе.,False,
Dumskaya,52b89801498eb5da45f72173,23945767,Отличный тихий Старбакс,False,liked
Dumskaya,52b89801498eb5da45f72173,140615546,"Кофе, кофе, кофе, настоящая Америка)))))!!!!!",False,liked
Dumskaya,52b89801498eb5da45f72173,33403822,Kazan katedralinin karsisi.ftee wifi ve tuvalet :)),False,
Dumskaya,52b89801498eb5da45f72173,138127786,"Красивый вид, милые бариста, но если много людей, то очень долго",False,liked
Dumskaya,52b89801498eb5da45f72173,75480093,Мило))) интерьер симпатичный),False,liked
Dumskaya,52b89801498eb5da45f72173,43556542,"Лучше кофе не бывает, а уж морковный торт... :-))",False,liked
Dumskaya,52b89801498eb5da45f72173,77637867,"Самое удачное месторасположение: ноавится и интерьер, и вид на собор. Но самое отвратное обслуживание.",False,
Dumskaya,52b89801498eb5da45f72173,73659747,Keyifli ferah bir yer.,False,liked
Dumskaya,52b89801498eb5da45f72173,60923610,"Нет удобных для работы за ноутбуком столиков, зато есть открывающиеся не в ту сторону двери. А так - старбакс обыкновенный.",False,
Dumskaya,52b89801498eb5da45f72173,60611891,В старбаксе кофе не такой уж и вкусный. Зато парфе обалденный,False,liked
Dumskaya,52b89801498eb5da45f72173,20264190,"В Старбаксе очень вкусный латте, но горячий шоколад отвратительный! По-моему, нужно честно предупреждать, что это скрипящее на зубах какао, а не шоколад.",False,
Dumskaya,52b89801498eb5da45f72173,52261437,Ролл «Капрезе» - вкуснотища!,False,liked
Dumskaya,52b89801498eb5da45f72173,65371310,"Люба, я здесь)))",True,liked
Dumskaya,52b89801498eb5da45f72173,25270227,Работают с 7:30 до 23:00,False,
Dumskaya,52b89801498eb5da45f72173,49772318,Спасибо бариста за проявленное терпение!,False,
Dumskaya,52b89801498eb5da45f72173,24770003,Вкусный холодный чай!,False,
Dumskaya,52b89801498eb5da45f72173,54295110,"Ролл с красной рыбой ничего, но в British Bakery намного вкуснее. А тыквенно-пряный латте хорош, только слишком сладкий.",False,liked
Dumskaya,52b89801498eb5da45f72173,43394459,Орехово-ирисный латте бесподобен!,False,liked
Dumskaya,52b89801498eb5da45f72173,157054949,Love this place)),False,
Dumskaya,52b89801498eb5da45f72173,85504187,Самый лучший кофе!,False,liked
Dumskaya,52b89801498eb5da45f72173,62955874,Кофе просто супер!!! ))),False,
Dumskaya,52b89801498eb5da45f72173,40465735,"Розеток мало неуютно, подходит для приобретения  кофе с собой",False,
Dumskaya,52b89801498eb5da45f72173,98166814,Лучший кофе в мире,False,liked
Dumskaya,52b89801498eb5da45f72173,103520377,Любимый кофе мммм,False,
Dumskaya,52b89801498eb5da45f72173,58161110,Гостиная в американском стиле,False,
Dumskaya,52b89801498eb5da45f72173,59752256,Мокко и шоколад❤️,False,liked
Dumskaya,52b89801498eb5da45f72173,18267014,Биуприкуууууска,True,
Dumskaya,52b89801498eb5da45f72173,68173074,"Пейте кофе в макдаке, все тоже самое, только в 3 раза дешевле",False,disliked
Dumskaya,52b89801498eb5da45f72173,40192527,"Покупаешь кофе за деньги, предлагают большой размер, покупаешь за награду-предлагают средний. Совпадение? Не думаю.",False,
Dumskaya,52b89801498eb5da45f72173,61867154,Хочу новую термо-чашку! ✨✨✨,False,liked
